F_moment_demand_N*mm,F_total_rebar_area_mm*mm,F_moment_arm_mm,R_rebar_carbon_kg/mm
2.7460221366021503e7,817.2684930363542,80.0,256.6223068134152
3.384058022558689e7,1007.1601257615147,80.0,316.24827948911565
4.879396045849523e7,1452.2012041218818,80.0,455.9911780942708
8.673473227928258e7,2581.390841645315,80.0,810.556724276629
4.788385677471354e6,142.51147849617124,80.0,44.74860424779777
8.512685648837961e6,253.35373954874885,80.0,79.55307421830713
1.3301071326309314e7,395.8652180449201,80.0,124.30167846610493
1.9153542709885415e7,570.045913984685,80.0,178.9944169911911
2.607009979956626e7,775.8958273680435,80.0,243.63128979356566
3.4050742595351845e7,1013.4149581949954,80.0,318.2122968732285
4.332199092314029e7,1289.3449679506039,80.0,404.85431993648956
5.4920442732043006e7,1634.5369860727085,80.0,513.2446136268304
6.768116045117378e7,2014.3202515230294,80.0,632.4965589782313
9.758792091699046e7,2904.4024082437636,80.0,911.9823561885416
1.7346946455856517e8,5162.78168329063,80.0,1621.113448553258
7.182578516207031e6,213.76721774425687,80.0,67.12290637169666
1.276902847325694e7,380.03060932312326,80.0,119.32961132746071
1.9951606989463974e7,593.7978270673801,80.0,186.4525176991574
2.8730314064828124e7,855.0688709770275,80.0,268.49162548678663
3.910514969934939e7,1163.843741052065,80.0,365.44693469034854
5.107611389302776e7,1520.122437292493,80.0,477.31844530984284
6.498298638471044e7,1934.0174519259058,80.0,607.2814799047344
8.238066409806451e7,2451.8054791090626,80.0,769.8669204402455
1.0152174067676067e8,3021.480377284544,80.0,948.7448384673469
1.463818813754857e8,4356.603612365645,80.0,1367.9735342828126
2.6020419683784777e8,7744.172524935945,80.0,2431.6701728298867
9.576771354942707e6,285.0229569923425,80.0,89.49720849559554
1.7025371297675923e7,506.7074790974977,80.0,159.10614843661426
2.6602142652618628e7,791.7304360898402,80.0,248.60335693220986
3.830708541977083e7,1140.09182796937,80.0,357.9888339823822
5.214019959913252e7,1551.791654736087,80.0,487.2625795871313
6.810148519070369e7,2026.8299163899908,80.0,636.424593746457
8.664398184628057e7,2578.6899359012077,80.0,809.7086398729791
1.0984088546408601e8,3269.073972145417,80.0,1026.4892272536608
1.3536232090234756e8,4028.6405030460587,80.0,1264.9931179564626
1.9517584183398092e8,5808.804816487527,80.0,1823.9647123770833
3.4693892911713034e8,10325.56336658126,80.0,3242.226897106516
2.244555786314697e6,71.25573924808562,75.0,22.374302123898886
3.9903213978927946e6,126.67686977437442,75.0,39.776537109153566
6.234877184207492e6,197.93260902246004,75.0,62.150839233052466
8.978223145258788e6,285.0229569923425,75.0,89.49720849559554
